position,heightinchestotal,weight,fortyyd,twentyss,vertical,broad,threecone,picktotal
WR,71.0000,186,4.4000,4.1000,39.5000,126,6.6400,82
WR,70.0000,199,4.4200,4.3400,35.0000,120,7.1200,60
WR,75.2500,224,4.3800,0.0000,0.0000,0,0.0000,22
WR,70.0000,188,4.4000,4.1900,33.0000,118,7.0000,206
WR,74.0000,221,4.5300,4.3100,33.5000,116,6.9000,101
WR,78.0000,229,4.5500,4.2600,33.5000,118,0.0000,85
WR,75.0000,218,4.4900,4.4700,37.0000,124,0.0000,30
WR,70.0000,191,4.5200,4.4100,42.5000,129,7.1000,144
WR,74.0000,204,4.4300,4.1800,37.0000,120,7.0900,206
WR,73.0000,201,4.4500,0.0000,0.0000,0,0.0000,160
WR,74.0000,195,4.5200,4.1200,34.5000,120,6.6500,108
WR,71.0000,192,4.3900,0.0000,37.5000,121,0.0000,22
WR,74.0000,210,4.3000,4.1800,38.5000,126,6.8000,7
WR,73.0000,210,4.4400,4.4000,34.5000,116,0.0000,99
WR,73.0000,185,4.2900,4.1500,35.0000,122,6.8100,140
WR,72.0000,184,4.4000,0.0000,0.0000,0,0.0000,175
WR,73.0000,198,4.4500,4.2500,35.5000,120,7.0600,19
WR,74.0000,210,4.6000,4.1500,36.5000,127,7.0700,50
WR,73.0000,212,4.5100,0.0000,36.0000,0,0.0000,29
WR,68.0000,195,4.3000,4.2800,40.5000,126,6.6500,107
WR,73.0000,184,4.3100,4.1100,41.5000,129,6.6200,253
WR,73.0000,199,4.2800,4.2700,40.0000,129,0.0000,84
WR,71.0000,176,4.5100,4.1200,31.0000,120,0.0000,84
WR,73.0000,214,4.3700,0.0000,34.5000,0,0.0000,105
WR,71.8750,210,4.4200,4.1900,36.5000,125,6.9000,205
WR,78.0000,217,4.4500,4.2000,31.5000,125,0.0000,41
WR,76.0000,213,4.5600,4.4300,28.5000,120,0.0000,215
WR,70.0000,169,4.3500,4.1900,34.5000,120,6.8200,49
WR,70.0000,182,4.3300,4.3800,29.5000,122,0.0000,58
WR,71.0000,177,4.5000,4.1800,32.0000,118,0.0000,193
WR,74.0000,210,4.5800,4.2600,32.5000,121,0.0000,224
WR,73.0000,181,4.5900,4.2700,32.0000,117,0.0000,95
WR,75.0000,217,4.5100,4.3500,31.0000,123,7.0300,36
WR,70.0000,184,4.3900,4.3400,36.0000,124,0.0000,42
WR,74.0000,221,4.5100,4.4200,26.5000,111,0.0000,106
