Player Id,Name,Position,Year,Team,Games Played,Games Started
micktingelhoff/2527445,Mick Tingelhoff,,1972,Minnesota Vikings,14,--
micktingelhoff/2527445,Mick Tingelhoff,,1971,Minnesota Vikings,14,--
micktingelhoff/2527445,Mick Tingelhoff,,1970,Minnesota Vikings,14,--
micktingelhoff/2527445,Mick Tingelhoff,,1969,Minnesota Vikings,14,--
micktingelhoff/2527445,Mick Tingelhoff,,1968,Minnesota Vikings,14,--
micktingelhoff/2527445,Mick Tingelhoff,,1967,Minnesota Vikings,14,--
micktingelhoff/2527445,Mick Tingelhoff,,1966,Minnesota Vikings,14,--
micktingelhoff/2527445,Mick Tingelhoff,,1965,Minnesota Vikings,14,--
micktingelhoff/2527445,Mick Tingelhoff,,1964,Minnesota Vikings,14,--
micktingelhoff/2527445,Mick Tingelhoff,,1963,Minnesota Vikings,14,--
micktingelhoff/2527445,Mick Tingelhoff,,1962,Minnesota Vikings,14,--
jackfrantz/2514386,Jack Frantz,,1968,Buffalo Bills,2,--
chrisdalman/2500274,Chris Dalman,,2000,San Francisco 49ers,0,0
chrisdalman/2500274,Chris Dalman,,1999,San Francisco 49ers,15,15
chrisdalman/2500274,Chris Dalman,,1998,San Francisco 49ers,15,15
chrisdalman/2500274,Chris Dalman,,1997,San Francisco 49ers,13,13
chrisdalman/2500274,Chris Dalman,,1996,San Francisco 49ers,16,16
chrisdalman/2500274,Chris Dalman,,1995,San Francisco 49ers,15,1
chrisdalman/2500274,Chris Dalman,,1994,San Francisco 49ers,16,4
chrisdalman/2500274,Chris Dalman,,1993,San Francisco 49ers,15,0
georgefant/2556524,George Fant,OT,2016,Seattle Seahawks,14,10
bartoates/2502333,Bart Oates,,1995,San Francisco 49ers,16,14
bartoates/2502333,Bart Oates,,1994,San Francisco 49ers,16,15
bartoates/2502333,Bart Oates,,1993,New York Giants,16,15
bartoates/2502333,Bart Oates,,1992,New York Giants,16,15
bartoates/2502333,Bart Oates,,1991,New York Giants,16,16
bartoates/2502333,Bart Oates,,1990,New York Giants,16,--
bartoates/2502333,Bart Oates,,1989,New York Giants,16,--
bartoates/2502333,Bart Oates,,1988,New York Giants,16,--
bartoates/2502333,Bart Oates,,1987,New York Giants,12,--
bartoates/2502333,Bart Oates,,1986,New York Giants,16,--
bartoates/2502333,Bart Oates,,1985,New York Giants,16,--
jimlanger/2519060,Jim Langer,,1981,Minnesota Vikings,9,--
jimlanger/2519060,Jim Langer,,1980,Minnesota Vikings,13,--
jimlanger/2519060,Jim Langer,,1979,Miami Dolphins,9,--
jimlanger/2519060,Jim Langer,,1978,Miami Dolphins,16,--
jimlanger/2519060,Jim Langer,,1977,Miami Dolphins,14,--
jimlanger/2519060,Jim Langer,,1976,Miami Dolphins,14,--
jimlanger/2519060,Jim Langer,,1975,Miami Dolphins,14,--
jimlanger/2519060,Jim Langer,,1974,Miami Dolphins,14,--
jimlanger/2519060,Jim Langer,,1973,Miami Dolphins,14,--
jimlanger/2519060,Jim Langer,,1972,Miami Dolphins,14,--
jimlanger/2519060,Jim Langer,,1971,Miami Dolphins,14,--
jimlanger/2519060,Jim Langer,,1970,Miami Dolphins,6,--
russletlow/2519381,Russ Letlow,,1946,Green Bay Packers,5,--
russletlow/2519381,Russ Letlow,,1942,Green Bay Packers,11,--
russletlow/2519381,Russ Letlow,,1941,Green Bay Packers,4,--
russletlow/2519381,Russ Letlow,,1940,Green Bay Packers,11,--
russletlow/2519381,Russ Letlow,,1939,Green Bay Packers,10,--
russletlow/2519381,Russ Letlow,,1938,Green Bay Packers,11,--
russletlow/2519381,Russ Letlow,,1937,Green Bay Packers,11,--
russletlow/2519381,Russ Letlow,,1936,Green Bay Packers,8,--
bruiserkinard/2518462,Bruiser Kinard,,1947,New York Yankees,0,--
bruiserkinard/2518462,Bruiser Kinard,,1946,New York Yankees,0,--
bruiserkinard/2518462,Bruiser Kinard,,1944,Brooklyn Tigers,10,--
bruiserkinard/2518462,Bruiser Kinard,,1943,Brooklyn Dodgers,10,--
bruiserkinard/2518462,Bruiser Kinard,,1942,Brooklyn Dodgers,11,--
bruiserkinard/2518462,Bruiser Kinard,,1941,Brooklyn Dodgers,11,--
bruiserkinard/2518462,Bruiser Kinard,,1940,Brooklyn Dodgers,9,--
bruiserkinard/2518462,Bruiser Kinard,,1939,Brooklyn Dodgers,11,--
bruiserkinard/2518462,Bruiser Kinard,,1938,Brooklyn Dodgers,11,--
rogerpillath/2523246,Roger Pillath,,1966,Pittsburgh Steelers,6,--
rogerpillath/2523246,Roger Pillath,,1965,Los Angeles Rams,14,--
artwebb/2528413,Art Webb,,1922,Milwaukee Badgers,8,--
artwebb/2528413,Art Webb,,1920,Rochester Jeffersons,8,--
harryrichman/2524130,Harry Richman,,1929,Chicago Bears,1,--
robertnelson/2522035,Robert Nelson,,1950,Baltimore Colts,3,--
robertnelson/2522035,Robert Nelson,,1949,Los Angeles Dons,0,--
robertnelson/2522035,Robert Nelson,,1948,Los Angeles Dons,0,--
robertnelson/2522035,Robert Nelson,,1947,Los Angeles Dons,0,--
robertnelson/2522035,Robert Nelson,,1946,Los Angeles Dons,0,--
